,date,title,isEdited,userName,review,rating,Company_name
0,2020-12-20 12:20:36,Love the app but can’t sign up,False,T Davis 1991,"Boston market is one of my favorite restaurants. I am so glad that they came out with an app and they have updated it. But it has been six months since the last update, will you guys please update the app again, I am not able to sign up. Even though I agreed to the terms and conditions, the app will not allow me to sign up. Otherwise, I absolutely love this app. I look forward to using it, but for right now I will just use it as a guest until something is done about the sign up feature. Thank you",5,Boston Market
1,2019-08-22 23:31:54,"Excellent update, with one core issue.",False,Lux Iustorum,"In general, I have only high praise to offer for this application and the overhaul it recently received. The interface and navigating experiences have received a fresh coat of paint and optimizations, and it’s far more aesthetically pleasing to use than before.

However, I can’t offer further praise or feedback because I cannot successfully place a carry-out order with it — at all. Once I complete my order and proceed to the checkout, hitting the last confirmation before my order is sent, I’m given an error message stating that “no or invalid authentication was provided with this request”. Nothing I have tried appears to fix this, and I can’t see where the authentication measures are failing, or even where they are present. My payment method information was completely correct, I was on a registered account, and my restaurant wasn’t near close. I’m stumped, but hoping it’s fixed soon so I can earn rewards!",4,Boston Market
2,2021-10-21 09:09:19,Gift Card Doesn’t Work in App,False,CJ25INC.,"Months ago, I reviewed this app and requested a gift card option be provided in the payment method portion. The request was granted, but adding a gift card disallowed my order from being placed yesterday (it said something like “you must call the restaurant to place the order”), which negated the point of picking it up quicker. When I got to the restaurant and checked out, the lady told me the app and website don’t allow gift cards to be applied to orders. Luckily, she was able to manually type in my gift card number (it was a digital version), but what good is it to have a gift card payment option on the app if it doesn’t function properly? Please correct; otherwise, this is a smooth app to navigate. Thanks.",4,Boston Market
3,2019-12-06 02:10:07,Need NOTIFICATION BUTTON FOR CURBSIDE,False,QueeenJC,"Ordering through the app was pretty good. I am a visual person so I was happy there were pictures for every item. I decided to try the curbside feature instead of normal pickup. When I pulled up the the restaurant I sat there for about 10-15 minutes before just walking inside. An employee even walked outside to take a smoke break and just kept going like I wasn’t in the designated spot for curbside pick up. There needs to be a button or procedure that notifies the employees when someone is outside for an order. Not to be the “lazy customer” who is just complaining about having to walk, I just feel like if the curbside feature is offered there should be some follow through... also the second time they have failed to give me a drink with my kids meal",3,Boston Market
4,2021-12-24 18:53:51,Terrible app /rewards earning,False,macmediausa,"After using this app for about a year now I finally decided to use some of my rewards that I THOUGHT I had.  Problem is that it was showing a zero balance and I was logged in correctly.  No record of my prior purchases.

Second, many times the app is not working very good so I go into the restaurant to order - which at times far faster than the app.   However if you don’t go thru the app, no way to earn rewards.

Lastly, the app allows you to order after hours - so if the restaurant closes early for one reason or another, you can still order and by the time you waste the driving to the restaurant, you find out it could have closed a couple of hours earlier.   Many other restaurant apps tell you if the restaurant is open or not and if you have a small time window to pick up.",1,Boston Market
5,2020-05-03 18:21:37,"Needs to take Apple Pay, problem with passwords",False,Joe-T,"This app requires you to set a password that is exactly 8 characters. Most password managers including the built-in Safari password manager on iOS auto-create passwords that are much longer than 8 characters. App needs to be more friendly to people who use password managers. 

All apps that accept payment need to take ApplePay. I’m tired of having to send my credit card information through to store in an app. This simply isn’t that secure. Too many apps lose data, and at least with ApplePay I know that Apple’s hardware encryption and trusted  APIs are managing my payment. It’s long past time for companies to get over their problems with contactless payments and to use the default one on their mobile device.",2,Boston Market
6,2021-08-19 00:55:51,Poor interface and bait and switch offers,False,JonathanBencosme8,"In there attempt to make the menu system simple they actually made it far more confusing then it needed to be, but I can forgive a poor UI. What I can’t forgive is the constant bait and switch offers, $3 pot pie sure sounds great, open the app and they have never heard of this offer. Great offers in the  notifications menu but imposible to redeem them in the app. If you dont write the coupon codes down they disappear when they are applicable. Rewards are nice and yes there are some exclusive menu items and an after dark menu but I’m sick of companies that make offers just to have you open the app and not follow through or make it so difficult to redeem that you just give up and decide to pickup some Popeyes….hmm good idea think I’ll do that.",1,Boston Market
7,2020-03-11 17:39:15,Best thing ever since sliced bread!,False,Mattrod9315,"I’m not joking.... this app is probably the best thing since sliced bread. You can order your favorite bowl or plate of food within seconds. The app is very simple and offers all the extra options like customizing your order the way you like it. I love adding gravy to my market bowl at the end and on top of everything and I added that in the notes. Guess what?! 
The gravy was on top just how I like it. Yeah it depends on the person who takes care of your order but that way Boston Market setup the app it’s made to be catered to us customers. Way to go!!!
It’s also very convenient for when you forget your card at home and they don’t have Apple Pay in the store yet so just other the food via phone and pay with Your phone.
You also get to use their point reward system!!!! Finally being rewarded to be a loyal customer!!!

Best thing since sliced bread and I mean it!🍞",5,Boston Market
8,2019-11-13 01:59:37,User friendly app and love the rewards,False,Ferrero J Man,"Loved using this app to order a dinner for my son’s cross country team. It saved me time from my busy schedule and I was able to order the dinner for 30 kids in less than 10 minutes. When I went to pick up my order everything was all set and the kids loved it. I will be using this app often. It makes my life easier and we love the food. Also, excited about the rewards I’m earning every time I use the app.",5,Boston Market
9,2020-10-12 22:21:47,Worst food app in history of history,False,Rayna in Tampa,"The point of an app is convenience. Having to re-enter orders 5-6 times to STILL not be able to place an order is ANYTHING but convenient. It asks you to enter your vehicle information endlessly, NEVER allowing you to move forward with order (this is third attempt at third visit since putting the app on phone). Of course employees don’t understand how to use app so I still have to wait in drive through line to place order. And, the promo codes it pushes to you aren’t recognized by the same app that pushes it to you. Such a joke and waste of my time! It motivates me to keep driving to one of the other establishments to eat that has apps which work seamlessly. Get it together man!!",1,Boston Market
10,2020-07-23 17:03:01,Reward Points System,False,Strolling2,"I don’t typically phone ahead when going to Boston Market so I need to key in my receipt information manually according to my server. However I do not find this process to be user friendly. First I have trouble finding the right page. Then, I am not allowed to key the information in on the same day of the visit. You have to key the information in a certain way or you get an error message. Then, after going through all of that, it still does not go through. This process needs to be greatly improved.",3,Boston Market
11,2019-11-20 15:21:55,Cannot get reward points,False,Sylvia Rhodes,"The new interface looks great. However, I have not been able to get the reward points for multiple transactions. Have tried contacting support, who responded with multiple curt messages asking me to refresh and reload my app, which did not work, instead of actually trying to figure out what the issue is with my account. Horrible customer service that has failed to fix a simple issue.",5,Boston Market
12,2020-08-18 17:33:44,Horrible.... rewards expire!!!!!,False,theclekticone,"I don’t leave reviews normally but this rewards app is horrible. Every time I get a reward ,it expires! Had a welcome reward, was about to claim it on the app, went to another app real quick to do something, came back and it disappeared! Said I had no reward to claim. Few weeks later, Had received my birthday reward for free dessert... said it it expired on the 18th of August, which means the 18th is the last day I can claim it....POOF!!! GONE!!!! Went to order food and claim my dessert & it wasn’t there. Not cool! They need to fix the reward claiming process. Other than, the app works well...but what’s the point if I can’t claim the reward that’s mine & that I’ve earned. Thumbs down!",1,Boston Market
13,2019-09-20 14:36:50,Easy to use and beneficial,False,T21#,"This app is not only easy to navigate, but also gives the user the ability to order ahead as well as take advantage of the rewards program. I enjoy using this app to order ahead and my food will be ready by the time I get to the store. So far have been able to get several deals using the rewards program which is a great bonus for something I was buying anyways!",5,Boston Market
