,userName,title,rating,isEdited,review,date,Company_name
0,Sarah P Marie xo,I love it!! - babysitter edition,5,False,"Being able to look at the menu and order online makes things so much easier. I babysit 3 kids at a time and when I order pizza it’s hard to pay attention to them or for whoever I talk to on the phone hear me. The app itself is organized and shows prices and coupons while you look through the menu. The food is also very good if you are one that gets full quickly. There is a huge selection of food to choose from and there is always a good coupon to use (my favorite is the 5.99 deal because the kids can get a pizza with 2 toppings they want. And then I can get either brownies for them or if I want a sandwich or salad instead of pizza I can get them- and it’s a short price considered what I could pay at other pizza places). Another thing that is beneficial is how I don’t have to stand by the door guessing the time they will be here. Instead they let me know when they left the store and the store is 10 min away so I know they will be here within 15 min. So I’ll stay by the door for like 5 min instead of the whole 25-30 minutes. The app is very beneficial and helpful. So I def recommend this app, especially for my friends at a party or when babysitting",2020-03-08 17:57:50,Dominos
1,LunarNyaa,Please add garlic options to the app,5,False,"I love the food and the app is a great help but I wish there was an option for pasta/ bread bowls, pizzas, bread knots, wings, etc. to have the options of garlic or no garlic. I rarely get the bread bowls because I have a garlic intolerance I’m not allergic but it’s very very painful after eating it. I don’t like having to place an order only to realize too late I have to call the store and ask them not to. I don’t normally complain about anything with the food I really love it but it’s very awkward and inconvenient to have to call just to avoid a mishap. I feel really bad about it because a lot of the people that work at Dominos are really hard workers and the branch we order from are some of the most kindest, hardworking, genuinely care about the customers and take pride in doing things right. A lot of people who work in the food industry do care about their customers or their work of their job and I feel that a lot go under appreciated. Thank you for making the app to make it easier to order and thank you to the workers for all your hard work. Especially during the pandemic.",2021-05-19 00:23:39,Dominos
2,Millenial(s),The purpose of a native iOS app: beat dominos,2,False,"I can imagine a few benefits from skipping out on building. Native app, but, it’s also all divided by a the cost of doing anything new, so I’m sure it makes less tsetse for profit people than product people. However, this app is garbage: even if the error codes have the exact same message as on the web (which isn’t hard for a native app to do). The hierarchy for actions is absurd. When I’m in the menu, I can’t see what’s in my cart, or my order totally until I’ve added an item to the menu or closed the menu. Further, when you modify a pizza (I suppose it’s possible domino’s executives only eat the specialty pizzas) the price of the item you’re about to add to your order isn’t displayed. If you have 20 cash and want to maximize your pizza toppings, you might be adding something to the cart and removing it till you get it right for a long time, depending on user intelligence towards domino’s menu pricing. 

Bad app. It got an additional star because everything fit on screen and the branding was consistent with the average-at-best domino’s website. But that 2 should be compared with the 3 star’s missing for not valuing the user experience as an outcome of corporate value. 

(FYI, I couldn’t see the text as I was typing this, Apple that’s a problem u should look into. iPhone 6s Plus)",2020-09-04 00:56:55,Dominos
3,OctQueen,Imma be honest about it,5,False,"These ppl that made the pizza they be mean whenever you tell them you have it all the way burned order a pasta they talking about we don’t see you order pasta like dude sometimes your point don’t even show up on the system n I don’t care I just want my food cook right. I used to work at dominoes so I know ppl played around in there n the boss would like them then they look at the food n don’t want to admit they have it burnt 
You ask them to remake it n they get upset. I don’t know why  they don’t buy the products, they just make the stuff so we can order. Oh then the system they took money off my card it took me a whole month to get it back n everyone gave me a problem 😕 I called up there 
“Ma’am I don’t see you order it didn’t pop up in the system” a girl with an attitude n I’m looking at my bank and I can clearly see they took my money took me an whole month cause they said I had to wait til I can get it back. So they have time where it just bad tbh it would be nice for corporate to actually answer the phone when I called or something they food good just this site in general isn’t",2019-12-29 21:38:43,Dominos
4,watonman,App needs to be modernized,3,False,"Am only giving this review because I was unable to place a delivery order from my favorite store. Usually I do carry outs but on this occasion I was unable to go out, so I had to use the delivery service. Thinking all was going as planned I calmly placed my order only to later discover some few seconds later my carry out store address on my profile was changed automatically. These seemingly did not sit well with me so I hurriedly tried to change the address back to my favorite stores address, only for me to find out that if you choose to use their (dominos) delivery service, you will automatically assigned the nearest store close to your location, this evidently infuriated me, because I have already gone to the store that was automatically assigned to my profile twice and I was not satisfied with how they make their pizza. Please if any of this app developers should see this, try to ensure you make it possible for people to order from their favorites stores in as much as they can pay for the delivery. The other reason which aided in my decision to award this app three stars is the lack of modern user interface. Am improvement in that area will be greatly appreciated.",2022-03-11 16:29:00,Dominos
5,Camila Camilo,How can pizza be this Good!?,5,False,"I’ll tell you how; You want a delivery driver that’s willing to battle the unstable elements of blistering winds and sheer cold late at night against terrible drivers that impede their journey to deliver said treasure politely and elegantly at your door without breaking so much as a sweat to save your relationship when your significant other complains there’s nothing to eat since you couldn’t get the groceries and all the stores are closed? Yes you do. You DO want the blessings of humanity to ring your doorbell and support your relationship like Atlas holds up the world on his rippling shoulders all the while enjoying the very pizza you ordered in a cozy warm living room while the champions that brought upon a new form of nirvana accept your shillings and tip their cap looking over their shoulder dramatically in the night like Ryan Gosling in ‘Drive’; KNOWING FULL WELL that they are the real heroes and live a life of danger and unprecedented hazards that live on the edge like a 1970s action flick with unnecessary explosions because not all heroes wear capes but all heroes have a uniforms. I PROPOSE A TOAST! TO THE TRUE CHAMPIONS OF FLAVOR ! HUZZAH BRAVE WINNERS! HUZZAH!!
- A pleased Customer",2017-12-02 23:45:41,Dominos
6,Johngcp,This app is so annoying,2,False,"I can’t believe a company would make it so hard to give them money. I spent over 30 mins or more trying to place an order on my iPad, where if you go to review your order you can’t go back and add anything else unless you want what they suggest, or you delete your whole order and start from scratch. That still wouldn’t have taken so long to place the order tho, but I was using a coupon they had, but my total was coming out way more than it should have. It took me a while to figure out that some crusts and toppings were causing my price to go up because they were more costly ingredients. The problem is no where on the list of ingredients does it let you know which ones cost extra and which don’t, it’s just one list of ingredients and if you choose ingredients based on the coupons guidelines and the price comes out to high then you are left confused as you get no information as to why. So after starting from scratch a few times since I can’t just go back to the main menu, I finally figured out what was raising the price so high. This app needs work, the ceo should try and use it, get to checkout and then try and go back to add something else and he’d quickly fire whoever made this app.",2020-05-04 05:22:50,Dominos
7,zeroverse,"Great app, only needs minor improvements",5,False,"This app is snappy, easy to use, and highly functional compared to other “fast food” apps. The dev team did a great job. A couple suggestions for improvements: For carside pickups (mandatory in my neck of the woods during Covid), it would be nice if we had the option to have our car’s details (color, make, model etc) saved. I have to re-enter the details each time...not convenient. Same goes for delivery instructions...let us save them for next time. Rewards: they should be point-based for each dollar spent...not just 10 points for spending any amount over $10 points. $10 order? 10 points. $40 order: 10 points. What’s the incentive to order more?. If I’m spending $20, I should get 20 points, not 10. Now, I just create two orders if the pizzas are $11-12 each. Do whatever math you need to, to make rewards make sense, but don’t incentivize splitting orders up...it’s inconvenient for us and sometimes confusing for your staff. Also, a visual graph indicating our point standing would be nice.",2020-09-26 01:45:50,Dominos
8,SilasZB,Dominos has outdone themselves,5,False,"Now as I'm sure many of us know, Dominos used to have a rap for being ""cheap and inauthentic"" pizza. As someone who orders Dominos a lot, I agree, it was definitely nothing compared to now. In my past 12 orders, I have received extremely great customer service, expedition of delivery, great deals, and AMAZING food. I regularly tell people to order from them more, no matter what their opinion of what their last experience might've been. Dominos to me, is a leader and example of how a business should progress in the 21st century. Everything that Dominos has done in the recent decade has been a groundbreaking improvement for the company. I only order from Dominos and will continue to until the day I die. I love you Dominos. Thank-you.
Side note: the app is awesome. They keep you 100% updated the entire way through the order and very happy, friendly reminders from the employees when they're on their way and outside.

Update: I've probably made around 40-50 orders in the past year using the app. Absolutely still the best way to get the best pizza!",2017-09-23 05:06:38,Dominos
9,Everfic,No ETA,2,False,"This app is deceptively convenient, it even has an “order tracker.” That is, until you realize that you have no idea if the location you’re ordering from is slammed or any sort of indicator of when your order will be ready/delivered (they just tell you when a milestone happens for your order, no timeframe for actually meeting those milestones). I have experienced multiple surprise 3+ hours waits using this app. And if the location you’re ordering from decides not to answer their phone (either because they’re just that busy or they don’t want to deal with what they assume will be an upset customer), like mine did tonight, you’ll have no way to know how bad of a wait you’re in for without driving over in person (which feels excessive to me). I literally ordered at 7:33pm and it’s 11:22pm now, zero pizza to show. I don’t blame the people working there for being understaffed and overbooked, but I do blame the app for not giving an option for warning you if a place is slammed, or just not allowing past a certain number of orders. Even just changing it so that you can see what the milestone etas are could do a better job of stopping people from ordering when they clearly can’t deliver.",2021-11-22 07:26:43,Dominos
