,userName,rating,review,title,isEdited,date,developerResponse,Company_name
0,Madison7015,5,"Since when has KFC had an app?! I feel the need to hop in my cream/tan (it's like the color of a perfectly toasted marshmallow) jeep and get a chicken sandwich and some coleslaw. The app is so clean and so... so... desirable! 
Could it have a kids menu? Yes. Could it give me the option to remove ice from my drink? Yes. Could the developer make it a little more personalized? Like a 'good morning, I hope you get that promotion today' (bc I know the internet knows all my info anyways 🙄).. yes 
But overall, I give the app 5 stars in general. But for the sake of specificity, I give it 4.765 stars. 
You all should be proud of yourselves, mucho props (it was about time) and my 2021 has definitely gotten better from the discovery of this app and all that is has to offer 
It's even better than Barack Obama eating pineapple on his pizza... I said what I said 🤷🏻‍♀️","I am a s t o u n d e d! Flabbergasted, really.",False,2021-03-16 04:05:43,,KFC
1,Tj hhii,1,The app desperately needs work. It’s missing a lot of menu items. I had assumed they were removed from the menu so ordered different then a then what I actually wanted. So when I got there I seen the actual menu and was disappointed with what I got because everything I wanted was still available. Just not in the app. Also ordered sauces with the app get charged for it. Get up to drive through window they ask did I want any sauces I said no just the ones I ordered with the app. The employees informed me they can’t actually see what sauces I requested. So if they didn’t as or I just assumed it was good. I would have paid for sauces and not received them. Disappointing because I act find using apps to order more convenient. Rather then siting at the menu board try to order food and after each item being asked is that all. For real is it so common for people to just say an item and sit silently waiting to be asked if that all. That now it’s gotten so bad that people can’t take more then half a second to say the next item before being interrupted with is that all. No I will say and that’s all at the end of my order thank you very much.,It works kinda,False,2021-06-26 19:40:24,,KFC
2,ponchinator,2,Awful app does not change wait time what so ever I go into kfc EVERY-TIME I end up WAITING AND WAITING AND WAITING either as a customer or a doordasher I get frustrated because as a customer I am going to a fast food place hungry expecting to get my food FAST and I end up waiting 30-45 minutes for a few pieces chicken why would I do that when I can go to any nicer restaurant and dine in and order food and probably wait a shorter amount of time for a whole dine in entree. As a doordasher it’s beyond frustrating because I am on a roll with good earnings for the day and I am motivated to continue BUT THEN I go to Kfc and everything changes I end up losing my whole momentum just because I decided to accept a doordash order from kfc I end up waiting over 30 minutes!!! Keep in mind in that time I’ve just been waiting I don’t get paid I get a bad review instead for taking too long because kfc doesn’t have any chicken ready but somehow it’s my fault and I can never explain it because it’s no contact delivery,I would delete it twice if I could,False,2021-10-09 14:36:04,,KFC
3,fastpitchdad13,5,"Placing the order took a little while to figure out but now that I’ve done it, it should be easy from now on.  I would recommend ordering from it.  There are promotional items ordering digitally that you won’t see at the store.  I was gifted a free order of large fries.  Other deals are also featured that are not offered except on the App. Plus, the order was ready for pickup when I arrived at the store.",The KFC APP IS WORTH IT,False,2021-12-11 20:31:23,"{'id': 26804346, 'body': 'Thank you for the 5-star review and happy you had a good experience with the app. ', 'modified': '2021-12-13T13:39:18Z'}",KFC
4,ThrownAwayAlready,1,"I ordered and fully paid for my food through the KFC app , only to be told when I arrived at the location that: 1) they didn’t have most of what I ordered on hand, and 2) I would have to call KFC’s 800 number to cancel the order and get a refund, as the local store has no way of doing that.

So this app basically takes your payment upfront and then messages your order to the local store with no way of the store confirming that they can actually provide what you want at the time you requested. And then you find out after you’ve driven to the restaurant whether or not you will actually get your food, AND whether or not you will have to (like me) sit on hold for 15 minutes to request a refund from their customer service department.
Picking up the phone and calling in your order to the local KFC would give you instant feedback on whether you can get what you want, without paying for food you can’t get upfront.
Do not waste time on this app.",Just call in your order,False,2021-05-09 09:35:24,,KFC
5,NMNavarr,1,"I've tried to use this app to order food on three separate occasions, but I've given up and gone in myself every single time. Several options from the menu are missing, including drinks: no root beer, no Dr. Pepper (it's actually available for selection all the way up until I choose my location), etc. even though you can order them all if you go there in-person. This issue seems to extend to the website as well. The meal options that they do offer give you no room for customization. If a meal comes with a medium drink and you want to upgrade to a large, too bad. The only way around it is to order every piece individually, which will cost significantly more than if you bought it as a meal. If there actually is a way to make changes, then it is incredibly well hidden and unintuitive compared to every other fast food app that I've used before.","Missing Menu Items, Terrible Customization",False,2021-11-18 23:55:28,,KFC
6,JWCG72,2,"First of all, KFC needs to learn a lesson it still hasn’t learned in decades of evolving fast food competition. Mainly being make things easier, cheaper and more accurate for your customer along with tasty food. KFC has mostly had tasty food. The prices for what you get are high for the most part due to lack of easily obtained deals in this app. Heck, I JUST saw an ad for a 3.99 chicken sandwich on TV and the deal isn’t even in the app???!!! There are literally NO app deals in the app whereas Wendy’s, McDonalds, Subway, Taco Bell etc ALL have app deal exclusives and some type of loyalty reward digital coupons. Apps should ALWAYS have the best deals. It’s the point of downloading them and gobbling up data and the time in using them. Loyalty rewards etc tied to the app as well. Come on KFC stop giving us reasons to go to Popeyes or Church’s instead.",Worst of all the major fast food chain apps by far,False,2021-11-07 01:06:23,,KFC
7,La Vega Nuke,2,"I’m only giving this app 2 ⭐️ because of the staff being friendly and quick to offer assistance. I made an order to the location closest to my house and it sent me somewhere else. Not only that, this location I was sent to didn’t have my order!!! It’s going on 2hrs since I created the order and I’m still waiting!! I love KFC, but something needs to be done to correct this location issue. 

I created a dummy order to see where it would send me... I had to select my location TWICE to get it to stick that I wanted this particular location. All I can say is it’s going to be a while before I use this app again.",🤬🤬🤬 Outrageous 🤬🤬🤬,False,2021-04-16 01:41:02,,KFC
8,kakemix420,1,Horrible app!!! It took my money but did not place my order. 😡 it gave me an error message BUT STILL TOOK MY MONEY!! I go up to the kfc and they didn’t have the order request either. I went ahead and paid for food because I was starving and it wasn’t the managers fault the app is trash. She couldn’t refund me because there was nothing for her to refund… I tried to look up my order history but all I get is the loading circle. I sent an email and tried to call corporate but have gotten no where. Sure it’s less than $7 but that’s not the point. I recommend you just go to the store and order there. I had my food in less than 5 minutes when I ordered in store.,0 stars,False,2021-12-09 22:49:10,,KFC
9,SpOoNMaN LIVE,1,"I tried ordering with the app the other day and it said there was a problem with my card. Figuring it was a glitch, I retried the transaction, no dice. I tried reentering the card information and ordered one more time. Received a message saying that my card information was bad. In the app I received notifications that my orders had been cancelled. I then go to look at my card and find I’ve been charged 3 times for the orders placed. To make matters worse, I tried emailing the email address provided in the app and it bounced back as an invalid email address. Hoping I’ll get my money back on those orders I never received. Been days at this point, fingers crossed.","Order cancelled, charged anyway",False,2021-06-11 17:30:27,"{'id': 23377657, 'body': ""Oh no! We sincerely apologize for the troubles you've had with the app. If you have not already you can reach out to our customer service team at 1-800-CALL-KFC or through virtual assistant at https://www.kfc.com/contact and they can assist you with this issue. "", 'modified': '2021-06-14T18:09:15Z'}",KFC
10,stifferspqr,1,"Having previously downloaded the app and setting up an account, I decided to order…
An hour and a half later I still had no food!!! 
Every time I clicked on the “order status” link the page failed to load. I then cancelled the order and notified customer service through the app. Knowing this is a fairly new app I was willing to give them the benefit of the doubt. However it’s been almost a month since and all I have received from them by way of explanation is the auto generated response.
Just terrible customer service not how things should go for a new highly promoted app.",No service no satisfaction terrible app,False,2022-01-04 15:40:42,,KFC
11,TxBoniBlue,2,"Seriously, I ordered using the app, arrived and went through the drive through to pick it up at the time it was supposed to be ready, but was told I needed to come inside to pick it up. There was no one behind me in the drive through. I could have driven up, ordered, (got the drink I really wanted which wasn’t on the app menu) and sat in my car after being up and working a 12+ hour day. I’ll know better next time…",Why bother with the app if you have to go inside once you get there?,False,2021-09-08 23:19:34,,KFC
12,Kajuluri,1,"They made me order through app cos I get to
Pick up ny food quickly uaing Mobile Order Pickup. When I went there, these losers locked themselves inside not reaponding to me for 20 mins. I waited in Chicago cold for 20 mins and my hands are frozen to a point where I couldnt feel a think. I had to go back into drive through queue for 35 mins again and get my order delivered cold. They not only made me waste my time ordering agead, they also delivered cold food and made me freeze. Now I will make them cold enough with my lawsuit and make them taste what happens when they freeze a lawyer almost to death.",Bunch of Brainless Workers,False,2021-12-19 00:36:04,,KFC
13,leighleigh1979,1,"This app is awful. I ordered food last Thursday, went to the store to pick up my order, only to be told that what I had ordered was no longer available and they told me they couldn’t refund me my money at the store and that I’d have to go through the app. There’s no option on the app to cancel your order. I’ve since opened a ticket online and have not heard back from anybody or gotten a refund. There’s a 1-800 number the store employees told me to call but I’ve held for 20-30 minutes and never get to talk to a person. What a terrible experience.",Do not use this app!,False,2022-01-31 21:46:52,,KFC
14,franklm4,1,"I’ve had this app for what feels like forever and no matter how long I want, how many times I try, no matter how many times I install and uninstall the app, or turn my phone off and on it NEVER works! Every time I go to order it says no results. It doesn’t matter what location I pick it ALWAYS says no results and won’t let me pick a location. Even when I go to different cities and one time I even went to a different state and still nothing. At this point it’s just taking up space on my phone. I wouldn’t recommend it to anyone.",Do Not Recommend,False,2022-03-10 14:13:02,,KFC
15,Lilskip3125,2,"Not only did it not save my future pick up time for a later time, told me after submitting would be ready in 3-5 minutes, we live 20 away. Called KFC and they wouldn’t remake or hold, just tossed it on the warmer table. Also - if I use the app, I cannot pick up in the drive thru, you have to go in which I find ridiculous. Everything is paid for, one of the quickest orders and your gonna make me park and walk in for you to just hand me a bag?!? Deleted app, just stupid.",Lame,False,2021-09-17 22:43:51,,KFC
16,ADisappointedEmu,1,"This app will allow you to order items that are not sold at the location. I ordered wings on the app and drove 15 minutes to pick them up. The drive thru informed me they do not carry wings at their location and I will have to refund with whatever service I ordered them on. 
This app does not have a button for cancellation or order issues, the only way to contact them is through “feedback” on there website which is typically used to review your experience.
Please fix these problems. Big waste of time.",BEWARE,False,2021-10-23 01:04:53,"{'id': 25910672, 'body': ""Thank you for your feedback. We sincerely apologize for the trouble you've had. Can you send us the location of this restaurant to KFCMobileTeam@yum.com so that we can follow up?"", 'modified': '2021-10-26T18:05:04Z'}",KFC
17,MonsterMike72,1,"When you order thru the app, there is no communication on your order when the store has issues. 
I ordered thru the app in advance specifically to avoid a line. 
However when I arrived the store lobby was closed due to staffing issues. 
I had to wait thru the drive thru line, then only to find out they were out of extra crispy chicken and could not satisfy my order. 
My option was to take original recipe, or go thru the app to try and get a refund… after already waiting thru the line. 
I understand running out of product. 
I understand being short staffed. 
Turn off the online order option thru the store to alleviate issues like this. 
I would not be as upset had I just arrived at the store and experienced these issues. 
I am upset because the app offers a service it cannot in good faith fulfill.",App order submission,False,2022-02-28 00:01:51,,KFC
18,Bubba__,1,"How do you finally build an app after being a decade late and manage to not even add your entire menu to it? Like just the main thing to point out, you don’t have popcorn tenders/chicken in your app menu. I have not been able to even order through the app yet because there are missing menu items or things are only bundled in a specific way on the app and you can choose what you’d like. Seriously your parent company is PepsiCo, you have the money to do better…",Not the full menu??,True,2022-02-01 20:11:49,"{'id': 25910740, 'body': 'Thank you for your feedback. ', 'modified': '2022-02-01T20:11:49Z'}",KFC
