,title,isEdited,rating,review,date,userName,Company_name
0,Love Krispy Kreme,False,5,I love Krispy Kreme Doughnuts but the location in Charlottesville Va is having problems every single time I go in or drive up. Last week I ordered a chocolate covered cream filled and a banana cream. Got to the they were having a problem make Banana cream. 3rd time I have tried to get that one. Got on the road and my chocolate cream filled was custard filled. Called the location cause that happens a lot. Did not answer their phone. Yesterday not enough help for the buy one dozen get one for 1.00 had a problem ringing the deal. Said the rewards thing was down. Twice the glaze machine was not working. Ugh I give up,2018-07-28 13:51:44,i give up on this location,Krispy Kreme
1,App Doesn’t Work When Registering For Rewards Program,False,1,"Installed the app and tried signing up for the Rewards Program. Enter my info and get a message that I already created an account (I did?). Select the Forgot Password link and get an e-mail with a 4-digit pin. Type the pin in, and get an error that the pin # can’t be found. Request new pin, get new pin, type it in: same error. Went through it 3 times without success. There is no customer service link or contact to follow up with, so I think I’m done trying.

UPDATE:
Tried to give this app a second chance. Again, I was told that I already had an account (I do not). Tried a bunch of my commonly-used passwords and none of them worked. So, I tried the password recovery option and was given a screen to input a 4-digit PIN that was being sent to my e-mail. I exit the app, check my e-mail, get the pin, and go back into the app to type it in (takes maybe 5 seconds max)... and the app has reset to its home screen! I can’t get back to the PIN input screen, so I try again and... in order to get to the PIN input screen, I have to request a new PIN (the “old” one sent 30 seconds earlier no longer works). Yet I can’t exit the app to check my e-mail because it will loop back to the home screen every time I do so. Sensing another endless loop of futility was beginning, I quit trying. How am I supposed to input the PIN when the app goes back to the home screen EVERY time you exit it?!?",2019-04-03 14:55:48,'93 Bruin,Krispy Kreme
2,An awful app experience,False,1,"I don’t usually write app reviews but this app genuinely infuriates me. 
Trying to sign in fails constantly. I have no idea why. I used Sign In with Apple but it insisted that it couldn’t work. So I try create an account normally. But of course Apple doesn’t remember the keychain generated password it recommended so tha didn’t help. (Less the apps fault but still annoying) After a while it some how works I literally did nothing different. I go in and try to place an order because there’s a deal going on. I select my store but as a try to order it insists that the one store that is close to me has no donuts. It instead show coffee under the donuts tab and Merchandise under the coffee tab. I tried reopening the app thinking it was another bad glitch. But nothing worked and eventually the sign in issue came back. I just wanted donuts on sale man. I check the website to try and order but apparently it’s the same issue No donuts. Weird right? A hot and ready sign yet no donuts. No donuts at a donut shop. I’m losing my mind at this point and I decide to check at another store. Would you look at that! They have donuts! And everything you could ask for. So why doesn’t it work for my store? Who knows because there is now way to ask for help in the app. Also the other store is way too far away. Just my luck.",2021-12-12 22:53:49,Levi_Romo,Krispy Kreme
3,App Broke,False,2,"We Love the doughnuts… but your app bites! I logged in using saved password on keychain. I tried manually entering info, I deleted and reinstalled the app, powered off my iPhone and restarted. I stood on one foot and made an antenna from foil… ( ok I didn’t do that one, but you get the drift.) it says the credentials are invalid, it won’t send me a verification. It will not let me make a new account with same email because apparently it’s only useless when you try to make a different account. I tried to login from FB and it says it’s unavailable… someone out there in donut land does not want me to order donuts… so… When you fix the app… we’ll get donuts! ( at least our new years resolutions are safe until whenever your IT people figure out how to make the app work. ( btw I’m on iPhone iOS 15.3.1 Also.. my birthday was Jan 15… and I did not get my birthday donuts! Maybe at least the app will work soon?!?!? It’d be awesome if something went right this year! Thanks for letting me vent…",2022-02-21 01:00:05,Infoang,Krispy Kreme
4,Good but,False,1,Ok so I love your doughnuts so I asked my mom if she could Order some and she said yes so she ordered and she ordered herself two doughnuts and we went there and she didn’t get her doughnuts that she Deserves because she works so hard she doesn’t have a job because my grandma and grandpa and one of my uncles and my grandma goes to work and my uncle my uncle drives himself so work and my grandpa drives my grandma to work and my mommy has to clean feed me play with me cook food feed my pets take care of our foster puppies I’m public home schooled so she had to log me on every day almost and she doesn’t even get 2 dumb doughnuts give and last time she ordered she didn’t get her doughnut treat my mom good you mean brats I can’t believe I like you stupid doughnuts I should go to dunking doughnuts or somewhere else that treats my mom hood oh and you’re so expensive it’s 25 dumb dollars to order doughnuts and 13 dollars to go on the store how awfully mean you are to people I love my mom your brats I hate you,2021-09-27 17:43:50,poopsscoops,Krispy Kreme
5,Can’t place orders,False,2,"There’s a menu, which shows all their products, and tells you all about them, but doesn’t let you place an order. The only thing you can actually do with the app, is pay for your purchase at a Krispy Kreme Store, if the store has the scanner, and it works. To do this, you have to enter your credit card information, manually, because it won’t scan your card. Then you have to transfer funds from your card to the app. Then when the cashier rings up your order, you hold your phone under the store’s scanner, and it takes the money. It keeps track of your purchases, so you can collect rewards. Once you load money from your credit onto the app, you can’t get it back out. You can only use it to buy doughnuts, and only if the store has the scanner. Instead of making purchasing their products easier, the app makes it more complicated. Sort of defeats the purpose.",2019-01-18 16:00:09,Bykr Bayb,Krispy Kreme
6,Horrible,False,1,"We came and there were no doughnuts except the pink and chocolate sprinkles. We were going to get kreme doughnuts but then so random stupid person came and took all of them. There was a coupon in the app that said buy a dozen and get another glazed dozen free. We were going to get that but then it didn't go through. We asked for the manager and see of he could do something, but the worker said ”the local manager couldn't do anything”. The worker didn't do anything, acted like he didn't care, and kept on pretending to act like he cared by saying ”sorry”. To top off this horrible event I scanned my app 5 times to get the rewards the worker even said: ”ok, it scanned”. However, on the receipt, it doesn't have my app name(so it didn't scan) and I didn't get the rewards. Never trust the workers, the Krispy Kreme app, and the Krispy Kreme store. Never coming back again, the app offers are fake news, I'm telling everyone I know( which is a lot of people) to never go again.🤬😡🍩🤮",2019-01-27 23:58:48,Zeina Taha12345,Krispy Kreme
7,Fails every time,False,1,"This app has a fatal bug.  I’d give it zero stars if I could.  When I try to sign in, it says my credentials are invalid.  When I try to reset my password, it says I previously signed in with Facebook.  When I try to sign in with Facebook, it says it can’t find my account.  This is an endless circle, and I am not able to log in on the app or website.  I tried contacting them through their contact form, but it always makes me include a store location (even though this error is not tied to a specific store).  A phone call led me through a series of voice messages and never to a live person, and there also was no chat box.  Sometime later, after leaving a comment to who knows who, they sent a coupon in the mail with no return address so that I could write back.  It is for a free doughnut for my troubles, but they never addressed the problem!  I still cannot log in anywhere.",2021-03-09 11:10:20,Grzzh45-8,Krispy Kreme
8,"App does not credit reliably, in midst of a time-wasting adjustment",False,2,"I liked the app at first as I thought it would keep track of my points but it doesn’t track purchases reliably. Even worse, recently I purchased points in-store and was charged 3 times but the points never credited so I had to go back to my credit card company and initiate a time-wasting complaint, I’ll end up spending an hour on it to get my money back. This is the absolute worst thing that can happen with an app, 2 stars are only for my early experience. Don’t try to credit in-store with this app (or wherever WiFi is spotty), if you want to add points, do it when you have a reliable WiFi connection well before going there.  In addition, some of the newer store employees have a lot of trouble using the app to take payment and have to call their manager over.",2022-01-04 12:53:21,Idle Expat,Krispy Kreme
9,Rewards Issue,False,1,"I filled out the information for the Rewards Program and I noticed I want given an option to put my birthday. I called the number, but it was giving me all types of options other than to talk to a Customer Representative for the app or anything. So, I emailed them and was given an apology about people not receiving their points. I made sure to be clear and concise when explaining my issue and was given an irrelevant reason. I ended waiting about 6 days to see if they at least changed it for me or would contact me back, but nothing. I emailed them again and it's been 6 more days and no response. Very unprofessional on their part and clearly they do not care about others. It seems silly to be upset about this, but I have been extremely patient about this and the whole experience has deter me from ever going to any Krispy Kreme or products as a first time consumer of the brand.",2021-01-23 07:26:12,ommgnivkyname,Krispy Kreme
10,Good,False,4,"I personally think it’s a really good app you get great rewards for shopping there. If you don’t shop there very often or aren’t willing to go you most likely won’t like this app. If you don’t go regularly or even once a month you don’t get many rewards you will get a couple of coupons and maybe even a free donut but that’s about it. If you are a regular or you come once a month and you use your app when they scan, you earn points and then you get things like a free donut or a free dozen and if you save your points you can even get free keurig coffee things that go in them... which may I say they are REALLY GOOD!!! So if I where you and I went to Krispy cream often I would totally get his app you will save so much money and you won’t regret it. 👍",2018-05-31 22:29:58,Haley-N-S,Krispy Kreme
11,Waiting for a fix!,False,1,"Just as everyone else having issues after this forced update over the weekend, I can’t log into my old account that had over 4,000 points! I spent several hours trying to reset the password until I saw all the recent reviews and realized that the problem wasn’t on my end, so I left it alone patiently waiting for a fix. I know my points are OK for now when I tried using my registered phone number in a store, but I have no control over how my points are being applied - the system is trying to give me “free stuff” arbitrarily and not when I wanted to redeem the points, like in the past. Very frustrating! The old app worked like a charm and the new rewards system is not better in any way.

Please fix this problem and send out an update confirming the issue is being resolved, so people stop wasting their time and getting frustrated for no reason!",2018-09-05 19:49:18,Rina25,Krispy Kreme
12,App Issues,False,2,"I ordered on the app with 2 different different cards, & my my money was withdrawn from both accounts without actually completing my order. I contacted my local Krispy Kreme (the worker was extremely nice), but they did not see my order in store. I was given a 800 number to call, but unfortunately COVID-19 has customer service hours only for a short period of time during the week and Saturday's. I’m not upset with Krispy Kreme as a company, but it’s very frustrating to have the ease of using an app, only to realize the app withdrew money from my card without processing my order. Now I have to wait until customer service opens at 9am cst on Saturday just to prove to customer service that I made 2 purchases and never received what I ordered. It’s safe to say that I won’t be using the app again!",2020-07-18 01:10:27,Colem020,Krispy Kreme
13,Consistent App Problems,False,1,"The app mostly never works - it has only worked once out of the many times I have tried to use it.  Whenever I login and start an order, the screen is always just blank and none of their donuts show up.  The only thing on the screen is to click “donuts” or “coffees and drinks,” but there are never any donuts or coffees and drinks to click and order.  As I said before, just a blank white page.  This is a consistent problem - the app is just terrible which is unfortunate because they advertise such great deals, such as free delivery on any order.  I’m not one to write reviews, but this is getting ridiculous.  Why have an app in the first place if it isn’t going to work?  Also, it is not just me who has this problem, I’ve asked others about it and they have the same awful experience.",2021-12-12 18:55:56,growing very frustrated,Krispy Kreme
14,The worst platform compared to competitors,False,1,"Too many software bugs and customer support sounds uninterested, Ill-informed, and unwilling to help. Had a error with entering card info, and the app ended up charging me twice. Called to get the amount credit back. Rep said the request was sent but couldn’t give a confirmation number or TAT OR ANYTHING to let me know the request was actually sent. Called back 3 business days later, new rep tells me there’s no request open for me; tell her about the initial conversation, she turns the whole story around  “well if she said she sent it, the it’s there. We don’t  have confirmation numbers or email correspondence but something like this takes about 5 business days.” 🙄 okay but you just said you didn’t a case open with my registered email... once I get my money back Krispy Kreme has lost my business FOREVER.",2019-03-05 16:08:26,Kitty2k,Krispy Kreme
15,Logs Me Out,False,3,"I love Krispy Kreme but the app isn’t working for me. It said I already had an account with my email but I never made one and when I tried to reset the password through email I didn’t receive one. I made a new account w/ a different email this time it didn’t ask me to input my birthday and on my profile it says to call a number to change the birthday. I don’t want to call just to put in my birthday, I’m not even trying to change it - just put it in for the first time. After that it logged me out and now the app closes when I press ‘log in’ and I have to either make yet another account or just delete it. Please help KK I really would love to have the app.",2020-12-17 03:54:52,morganleeco137,Krispy Kreme
16,Love Krispy Kreme but y’all need to work on your delivery system,False,2,"I love their donuts, they’re the best; but I have issues with you guys’ delivery system. A week ago I ordered a dozen donuts for delivery. They took the money out with the quickness, but cancelled my order no sooner I placed it. Turns out it was an issue with their system & my order was never sent to the store. So I instantly wanted my refund. Well I’ve emailed them multiple times, I even called them yesterday & I STILL haven’t heard back from them! It’s been a whole week at this point, I want my money back! Your app is good when it comes to making a pick up order, but idk what you’re trying to pull with that delivery stunt y’all pulled. & why hasn’t anyone gotten back to me about my refund? Fix your delivery system.",2020-03-10 14:54:17,PoisonIvyTheParamoreLover,Krispy Kreme
17,Free doughnut,False,1,How do you get the free doughnut for downloading app ? I don't see a message or a link to send messages. The card seemed like fun until I started reading the negative reviews. I probably just old and slow at figuring out the app 😜. I suppose the best option is to physically walk in the store and interact verbally with the employees and maybe a fellow customer or two. Shouldn't expect anything for free because they are in business to earn money to support their families. I would prefer to not be teased with a free doughnut 🍩 if I download the app but after I download the app I search for the free doughnut but cannot find it 😏. Thank you anyway KK for making the best doughnuts I've ever tasted! I hope you don't let it go to your head and start treating customers poorly because we will take abuse to just get a hot fresh now doughnut! 😂😂😂.,2018-01-21 13:24:22,Mynameis who,Krispy Kreme
18,Stole my money,False,1,I wanted to get points so I could get rewards so I decided to put $15 with my card into the app. When I went to the store and tried to pay they couldn’t take out the money so I had to pay myself. I went ahead and went to another store another day to try and see if maybe it was just the employees but the employees at the other store could not take the money out either. They even tried transferring the money to a gift card and that didn’t work. This app has a lot of issues. It also states I have a free donut but there’s no way to redeem it. I ended up emailing customer service about the issues because I felt that I was robbed by the app and to this date there is no response. This is horrible. I went ahead and disputed with my bank. They really need to fix their app ASAP.,2017-11-15 17:54:34,Gicela A.,Krispy Kreme
19,Where’s my points?!!!,False,1,"I’ve been using the other version of the Krispy Kreme app and I updated today. On the website and emails they’ve sent it said that I would not need to register for a new account and that my points would be converted and transferred. But when I went to log in, it said I had to create an account??? And then I even tried to reset my password and it was not valid, I don’t know what’s going on but this needs to be fixed. I had enough points for a free box and now I can’t even get into the app. When I tried to make an account it wouldn’t even let me either.

Update: I finally got into the app after reinstalling it, but alll my points are gone, I had enough for a free box and I was promised that my points will vary over but where?!!!! I want my points back",2018-09-02 14:49:51,kemunt0,Krispy Kreme
