,userName,date,rating,review,title,isEdited,Company_name
0,stinky wasabi,2022-03-02 23:54:36,5,"I am a person with cash only who is trying to order food. I don’t have a card or Apple Pay because my I don’t work and my parents doesn’t let me have an account. A lot of apps don’t do cash which is wierd because people like me then can’t order food and I can’t go and pick it up cause I’m 15. If someone was home I’d ask them to order food for me. But since it’s just me and my sis, who is the same age as me, and both of us doesn’t have an account or Apple Pay, we can’t have any food. Now we are gonna have to make some, which is fine, but I came home at 5 pm from school, almost 10 hours. I’m not complaining, but I’m really tired and wasted literally an hour trying to find apps that let me pay with cash and found nothing. 
Please consider letting costumers pay with cash as an option.",Please do cash !!!!,False,Panda Express
1,adam_army_veteran,2020-05-03 21:01:36,1,"Let me start off by saying how much I do appreciate panda express being open during these uncertain times, with that being said I’ve got to say that for the prices they charge they certainly try to short you as much as possible. I have gotten the same thing every time ever since panda express opened in Michigan city and I’ve never had an issue until they have done the carry out orders only. I order a large orange chicken only and when I brought it to the point of them not filling it up the whole way I always get an excuse or they try to explain to me they only fill it up to the line which is OK if that’s what was happening but that’s not what was happening and I’ve pointed out multiple times and yet I still get treated like I don’t know what I’m talking about or that I am wrong. I’m not very appreciative of the disrespect or lack of caring about making sure that the container is simply filled to where they say it should be to begin with. For the pricing that panda express charges I can certainly receive better quality and quantity both from the food and the customer appreciation elsewhere. Very disappointed to say the least. I’d like to say that it would matter that I made this post but I am almost certain it will not make any difference sincerely a very disappointed combat Army veteran.",Lack of caring,False,Panda Express
2,pissd off customer,2019-07-09 16:03:35,1,"This app has way more stars than it deserves. I don’t know how so many people are satisfied with this completely unusable app. I cannot order anything because every time I initiate an order by setting the pickup time and place, it just loads for a long time before telling me the order could not be placed. The loading times for anything in this app are nonsensical and absurd. I have to force quit the app then open it again to start over and hopefully it doesn’t get stuck on a loading screen again. Why the hell does it take so long to continue as guest? Like wth is it processing for so long to get past the initial screen? I can’t fast log in because autofilling the email always enters my password (which is fully visible i.e. security issue) instead of my email. Even when I have the cursor on the password field, autofilling it will replace my manually entered email with my password (again, it is visible) and still leave the password field blank. Also the map to find your location almost never works and also takes forever to load. This app has all the same terrible problems as their website too. Unbelievable that they screwed up such an important part of what could have been an excellent addition to their business model both on desktop and mobile.",Poorly designed and nonfunctional,False,Panda Express
3,Dolly7384,2020-05-24 22:23:03,1,"Wow. To start off, my order was messed up by the store so I had to call and they gave me store credit. They would’t cover my delivery fee which was absurd, I paid to have it delivered. ANYWAYS, I try to reorder on the app and it says the order couldn’t be placed because now it would be ready at a later time which was fine but it still wouldn’t go through. If you read other reviews, others have the same experience. I kept having that issue no matter what I tried on the app, so I finally went on my laptop and just ordered from their website. That’s how I ordered the first time. Tell me why, 4 ORDERS WERE MADE. 3 were from the unsuccessful attempts on the app, and 1 successful try from the website. I got three orders and then ANOTHER ONE WAS ON THE WAY. Thankfully that one was cancelled, someone must’ve figured out what happened. I didn’t call the store, pretty sure it wasn’t their fault. And during these uncertain times, I am sure there is no one to call. But yea spending so much money on Panda was not in my plans today. So if you don’t want this to be your experience, refrain from the app. Just use the website. It’ll literally save you money. And FIX THIS APP !!!!!!!!!!!!!!!!!!!!!!!!!","DO NOT USE THE APP, ORDER WITHOUT IT!",False,Panda Express
4,Paola Velasco,2020-04-07 21:44:02,1,"I drove to the restaurant, but there was a sign that they were no longer offering the family deal for $20 at the restaurant. Manager made me drive around and order from the app or online while in the parking lot. Then I advised to workers that were taking out the track that neither the app or online were offering the family deal. She recommend I try to call their corporate office. EXCUSE ME!!! That’s not my problem, that’s a Panda problem. So I drove back through the drive thru and asked to speak to the manager. They had me wait at the window while she was on the phone and then when she came to the window she said they had to reset the app and the options online. I closed the app on my phone, reopened it and voila, guess what the option was added. Unfortunately, instead of the manager taking my order at that time as a courtesy for the inconvenience, she told to go back around to the parking lot, place my order on the app and wait for the time given for it to be ready. 30 minute wait. In the meantime, I watched a countless number of cars drive in and out of the panda drive thru. This experience sucked!!!",Family Deal Not Available,False,Panda Express
5,15squid,2018-10-27 17:48:45,5,"I’ve tried on several occasions to order using the app and it’s always a mess.  I only order the Family Pack and a few sides.  But when I select “Place Order” it bounces and never completes the order.  I think it’s because the Family Pack can’t be completed in the pick-up time allowed.  No one at the store has an answer.  And when I called to see if the order had gone through the lady said it usually takes 10-15 minutes for online orders to post on the store’s system “so call back in 10-15 minutes”.  We love Panda.  Please fix you app, your communication system, or your process.",Bad app,False,Panda Express
6,careyny,2020-04-10 23:35:39,1,Went to order the family meal to go online and went to pick up at 54 and Little where they have two separate lines one for order pick up and one for immediate orders. The pick up line had 10 people and not moving for an hour. I wAited that long because I was early and thinking I’d get my food.  I didn’t wait anymore to get it. No one was moving.  They were making orders for people that weren’t waiting in line.  The two people ahead of me were waiting over an hour.  They were busy inside but not handing out the food to the people that were there. I did not pick up my food. I couldn’t get someone to come over to the immediate order side to cancel my order. So I left. I’ve called 4x to cancel.  No answer. A manager should have come out and said what was going on.  Either they had a huge order to fulfill and they were backed up and someone should have come outside to say something.  No communication at all. I understand things are different in the world now but customer service should not have changed.,Dissatisfied Customer,False,Panda Express
7,AMG0685,2021-12-15 19:00:23,1,"So I ordered a delivery order in the app and was told it would be delivered at 12:09. I got a text from DoorDash, that my delivery was confirmed. In the Panda Express app there was no mention of a 3rd party delivery service. I waited until 12:10, looked at tracking and they updated the delivery time to 12:33. I was a bit annoyed, but okay, those things happen. At 12:30 I got a text that the order had been delivered and it certainly wasn’t.  I looked at all my neighbors front doors just to make sure that the order wasn’t mistakenly delivered to the wrong address. Then I called the store and was told that they had no responsibility for this since it’s a 3rd party delivery company. I was shocked. So I said it is your app, I didn’t order through a different app, and they told me too bad. Since I had already paid for it I begged for them to make it again and my husband would pick it up. They agreed, but reluctantly. So frustrating and sad that this company works this way.",Worst experience all the way around,False,Panda Express
8,Is phx,2020-05-18 21:58:50,1,Approximately pick up times are horrible if you are setting up a pick up time it’s for a specific reason. I had placed an order and I had arrived to the restaurant way before my pick up time however I had seen a bad just sitting there for the whole time that I was sitting there waiting. When a minute before the pick up time comes around I go up to the door and wait and I told them my name and they gave me the bag that was sitting there for at least 15min I let it slide next time around same thing happens not to mention that it’s sitting there and food gets cold so then I ordered and got there 7 min after I placed the ordered and then they are telling me that the order won’t be ready until that certain time well then I told them to please let me know because I don’t want cold food... mind you that it’s the same store they need  to be more consistent,Approximately pick up times,False,Panda Express
9,wellmiss,2021-01-30 01:01:24,2,"It’s a great concept. He walk in and pick up your food you can leave. I stood there for five minutes after I said it was supposed to be done. No one asked my name.

I continue to watch and saw that what appeared to be my food was sitting there at the end of the line, not under any heat lamps or anything. And after seven minutes someone finally checked to see what the name of it was and it was mine. I said do you mean to tell me that my food has been sitting there for more than seven minutes. I didn’t think I was being evil when I strongly suggested that they can give me fresh food. The food had been sitting there prior to my coming in. 

The time I spent going into the store I could’ve easily gone through drive-through. I won’t be using it again and I will be deleting the app.",I won’t use it again.,False,Panda Express
