,date,userName,review,title,rating,isEdited,developerResponse,Company_name
0,2020-12-05 19:09:04,Godspeed2302,"I used this app a lot for the rewards program, and now I use the mobile ordering even more since COVID restrictions in my town. You can select all items from the menu and indicate the specific bread, meat, toppings and sauces. I love how you can even indicate whether you want the regular amount or if you’d rather have more of a topping or less of the amount. You can also add on “ make it a meal” or side items individually. It is great that after you make an item you can select it as a favorite and put a name on it. This makes it easier the next time you are ordering for a family you just go to your favorites and you can find all your items already built to suit for each person. Additionally, you automatically earn points toward your reward tokens with later turn into cash rewards toward your purchase. The only downside the the rewards is that they do expire so don’t forget to use them. Last perk...well you can skip the line of course. It indicates what time your order will be ready and you can skip the line and go to the register to pick it up. Your all done because you already payed online. Great app!",Convinient and has rewards,5,False,,Subway
1,2020-12-13 22:54:17,csfrost1986,"Especially compared to the competition (places like Taco Bell, Sonic, Pizza Hut, and Starbucks, which all have excellent apps), I find this app to be buggy and inconvenient. Adding toppings and sauces to subs is more cumbersome than it should be and I usually experience a lag when trying to remove toppings. The options online often don’t match up with the store. Salt apparently isn’t an option using the app, although pepper is? Maybe the issues lie with my local Subway’s inventory, but I also can’t select chip options that I know they have in store. There’s no way to specify what kind of fountain drink you want if you add it as a stand-alone item (can only specify if it’s part of a meal). As a result, I have to use the special request section to correct my order since it isn’t accurate and even then I just end up having to grab everything myself when I get to the store. Also, ‘Make it a meal?’ shows up for subs but not for personal pizzas, even though every Subway I’ve ever gone to offers up the option of making my pizza a meal. Had to try adding my credit card about 4 times before it finally saved it (even though I didn’t change any info  from the first attempt to the last... it was just being buggy). Buggy and slow when trying to remove items from the cart. Finally, it’s probably human error somewhere in the process, but the tracker often won’t register that I’ve picked up my order, so I’ll see a reminder on the app homepage saying I have an order ready.",Not great...,2,False,,Subway
2,2021-12-31 01:22:42,Maxswiggy,"So I already had problems from the start of my desire to order my subway sandwiches from one store for curbside pickup and was told when I called there that they had to cancel my order because Covid showed up with two of their staff and they couldn’t give me my order. I totally get that and was sorry to hear they were affected and pray they’ll get through it unscathed. So I asked if they could forward it to another store and they said know. So I placed an order at another store on my way home. When I got there there was no one in the store and the young man started my order from what I could tell and completed it and put it to the side because a family walked in along with a female employee. I’m in parking lot watching this. So she joins him to help with family order but I’m wanted to get going tsp I called to ask about my order and she answered the phone. I told her I was ready for my order to pickup. She said, “Just wait a hot minute” and proceeded to hang up on me. I feel I had ordered way before the family walked in and should have mine completed and delivered first before starting in another. Then I get home and my sandwiches were not prepared according to what I had ordered. Very disappointed. Don’t appreciate the disrespect either. I was nice when I called, didn’t deserve it. Won’t go there again!",“Just wait a hot minute” says the girl who…,3,False,,Subway
3,2020-04-16 01:15:27,MJSinNEW,"Placed an order at 5:20pm on the app for pickup at the Menominee, MI Subway. Completed the transaction and it told me it would be ready for pickup at 8:20pm. Three hours?!!! Called the store 20 minutes later to see if was really going to take that long. They haven’t gotten the order! She said it usually takes 15 minutes for the store to receive it. So they should have already gotten it. She said once they received the order that they would have it ready in 15-20 minutes. I called back in 25 minutes and they still hadn’t received the order! She asked me to give her my order over the phone and they would make it right away. I went to the store 20 minutes later and showed the woman my phone with the order details which show date, time, order number, store number, location, items ordered, amount paid, method of payment. Everything to prove it’s legit. I appreciate the employees willingness to resolve things, but the app is COMPLETE GARBAGE!!! The store had no way to look up my order, no way to cancel the order, and no familiarity with the app itself. They made my verbal order with one error, by forgetting to put bacon on my steak & bacon sub, which is a little frustrating. The app far outweighed the missing bacon in terms of visceral frustration. And on the Subway website under the Contact Us section, you don’t have an option to choose app problems or feedback. I’d rate the app zero stars if that was an option.",Absolute Garbage,1,False,,Subway
4,2020-08-28 05:28:40,Liam Allen,"The app in itself is pretty good save the fact that it’s not crystal clear how to apply the deals to an existing order. However that’s not the reason why I’m writing to you. I just downloaded the subway app about a week ago, and I have used it four times so far. The first THREE orders had missing items and not just simple items I mean like the missing guacamole in the turkey bacon GUAC wrap. 🤦‍♂️ luckily we live in walking distance so I just walk back to fix the order. Now the fourth time is the kicker and it is pretty much the sole reason why I will never ever use your subway app again. I dialed in the order and it gives me the ready time of approx. 15 minutes. Totally fine. I show up at the approx. time and it’s one person who just showed up to their shift for that night and has no idea where my order is. He spots the ticket order on the counter and is confused why no one has taken care of it since it’s been 15-20 minutes since that ticket order has been ordered and PAID through your app. Apparently your (probably way underpaid minimum waged) prior shift employee grabbed the ticket, set it on the counter, and clocked out without even communicating to the next shift employee about it. I’m giving your app a one star not because your app is insufficient but because you failed to realize that you expect your franchise to employ competent persons to execute orders that is generally meticulous in nature.",Absolute waste of time of an app,1,False,,Subway
5,2021-06-21 04:23:53,Keely Maltby,"I just signed up and it was pretty painless. I’m typically very frustrated by the time I’m finished unless I Chuck my Phone out the window before I’m done.   The application/ sign up process was  easy. Ordering sandwiches was a step by step process and the pictures make it easy to follow. I forgot to order my choice of cheese but in the checkout yiu have one last chance to add or subtract items. Also the locations chapter was easy to follow and subway allows Apple Maps so I’m not forced to download another map app I don’t necessarily want, thanks for that consideration. To summarize; my lengthy review; signing up is breeze  just read the instructions & follow the steps. If you’re not on your own turf Locating a store is a cinch if you know where you are. If you don’t know where you are it’s likely you need more than a sandwich.  I found this app to be problem free. Besides there really isn’t a Cadillac problem that can’t be fixed with a stomach full of Subway is there?  Slow your roll (wheat , Italian, or artisan lol couldn’t help it ) slow your roll you’ll be unwrapping that delicious 12 inches of Yummy in no time. Cant eat the whole thing? Wrap in some plastic and BAM! Lunch tomorrow cuz its stays fresh even overnight. You’re welcome,  k&g Henson Murrieta Ca",A beginner,4,False,,Subway
6,2021-04-16 03:51:27,Gottliebfan,"Are used this app about three days ago and it worked fine. I was able to go to my recent orders and replace the same order without any problems. Then I upgraded the app. When I tried to use it today I was unable to re-order one of my orders from previous days. I had to start an order from scratch. When I got to the subway restaurant about 20 minutes after placing my order, they could not find my order then they found his body had a hard time because they did not find my name on the order even though I had placed the order using my Subway account with my name on it. Now I am trying to test the app again and I get a screen that says I need to update it when I press the green update button at the bottom of the screen nothing happens. I went to the App Store to download the update but I am having the same problem. When I open the app, I get that same screen that says that an update is needed and it’s giving me an option to press the green buttonTo update, but that button is unresponsive. What is happening?",Very buggy,5,False,,Subway
7,2021-08-03 23:53:40,B3x3,"I placed an app order at my local Subway Sunday evening at 8:40pm. Store hours online said they were open until 9pm and the app showed them available for taking orders. Placed an order and got a message from the app saying my card was charged, the order was confirmed and would be ready shortly. I went to the location (verified twice) and the store hours on the door said they closed at 8. No big deal, hours change, but then why did the app allow the order, confirm, and charge for it? 

So, I went in to the store today, showed them the order (which the app still lists as pending),  explained the issue, figuring since the order was shown as paid, they could simply make good on it now. I was told that they couldn’t make food for that order, that I would have to order again and dispute the previous charge with my bank!!  I just did and got my money back, thankfully. 

I also tried contacting Subway directly before my bank, but their 800 number would only tell me (by recording) to report app issues on the web site. Clicking “help” in the app takes you to that same site, and the answer to “how to report an issue” on the site says to click “contact us” under “help” in the app, but no such option exists. There’s literally only “help” which takes you to the web site which says to report in the app……..",Useless app and terrible customer service,1,False,,Subway
8,2019-10-03 16:02:24,Anita245,"I would give a 0 star rating if I could. The app wouldn’t was not working at all about 1 month ago while visiting one of my local Subways to pick up a sandwich at the end of a long day! The clerk/server ringing up my purchase did his best to scan the App to apply/redeem my points to no avail. As I happen to carry the card that came before the App with me as well, he tried to swipe the card (which has always worked before) and the end results was a total lockout of my account with the message to contact Subway. I had to make the purchase without my points! I did contact Subway the next day and after several minutes, the customer service rep found the solution to my problem. Problem solved; hardly! Two weeks later, I went to buy three sandwiches at one of my local Subway locations. This time out, the App just kept spinning and spinning as if it was prepping to open. It never did! Thank goodness my old card worked this time out. A couple of days after, I tried to open the App at home just to see what would happen. It opened up without a hiccup. Gee Subway, I need the App to work when I am actually interested in ordering food, NOT when I am just sitting at home not interested in eating your food that day. I expect to have a helpful, functioning App at the time of purchase instead of a message to contact you guys, or to simply not have the App open at the moment of truth! Frustrating!!!!",Simply doesn’t work!,1,False,"{'id': 11151738, 'body': 'Hey, there- we\'re working every day to improve the app experience and we wanted you to know that this issue (the ""spinning issue"") should now be resolved (with version 15.2.0). If you have further difficulty, we are always here to help at (833)-778-2929, by tapping \'Contact Us\' in the App Menu, or via email at appfeedback@subway.com. Thanks!', 'modified': '2019-10-09T15:35:39Z'}",Subway
9,2018-02-08 22:34:52,Ronwilt,"The app is convenient when it works.  I say that because so often I go through the pains of buying online and I get to the end and get an error. This happens frequently. I resubmit, start over , etc. same stupid error message. And there is no one to call and ask for assistance. I keep the app current on my iPhone. The next day it may or may not work again. I also think going through the menu is slow and clumsy. 

I also try to get my order straight in advance so when I am ready and I hit the purchase button I know it will be fresh. This is typically the time I am hurried and do not want to step through the menu. But I still want Subway Fresh, right. But today something changed and when I went back to my order to submit payment it appeared to be missing. So I ordered all over again and then noticed I had two subs in the queue. So I had to figure out how to cancel one of them. My order changed slightly and I couldn’t tell which one I was canceling. 

So what is my reward for continuing to use the app and buy from Subway. There is none. No rewards for buying your subs 3-4 days a week. No extra discounts. No buy 4 get the 5th free. Nada. And I don’t expect anyone will respond to my input. So Surprise me, Subway.",Where’s the Rewards,4,False,"{'id': 2576223, 'body': 'Hi there- we are here to help! Please contact our support team at (833)-778-2929, or by email at appfeedback@subway.com. Have your app version, device type, and the steps to reproduce any errors ready- so we can investigate and address these concerns for you. Thank You!', 'modified': '2018-02-13T21:10:05Z'}",Subway
