,title,developerResponse,rating,userName,isEdited,review,date,Company_name
0,"Great Update, but beware!","{'id': 19703202, 'body': 'Thanks for the 5-star rating. ', 'modified': '2020-12-11T17:56:06Z'}",5,cojack03,False,"Great Update: Being able to select Easy on the different toppings is very helpful and favorites has become much better. Also now you can select sauces, the workers don’t always look at the receipt for sauces, but it’s still early for the changes still and I’m sure some people might change there mind. Thanks for the awesome update. Great step forward!

Update: Finally got access to my account again after 9 weeks of not being able to get in. Only after writing the Beware on my review. So I had a week turn around on getting my account access back after giving a bad review.

Beware: I have been locked out of my account for 2 months now. Trying to get back in to it to no avail. I try the forgot password and it won’t send me the email, yet they continually send me promotional emails. I had 2 rewards, but by now they are probably expired. The contact form for support never appears to work, for me at least. I don’t get a confirmation that I submitted a support ticket or any notifications that I will be contacted. I can’t resign up with Facebook or my email because they are both already being used. So, as I have said to support. I’m not buying anymore Taco Bell until I can have access to my account. I had all my favorites set up and I was happy. Now, my disappointment is immeasurable and my rest of the year has been ruined.",2020-12-09 22:27:09,Taco Bell
1,"Horrible app! Horrible, embarrassing experience!","{'id': 3657125, 'body': 'That sounds like a terrible experience, and we apologize that our app was at the root of it. Please message the Taco Bell page on Facebook, or tweet us @tacobell.', 'modified': '2018-05-30T18:28:51Z'}",5,Dmarkusss,False,"I have never had so many problems with an online app as I did with Taco Bell’s app. On Thursday May 24th I made an online order for this store location 330 w northside dr Jackson ms. I submitted  the order over thirty minutes before arriving to the location because I made a stop prior to arriving.  The money for my order was taken from my account and when I got to the window I was yelled at and told that I could not have my food (that I had paid for) that they didn’t see any order or money. They yelled at me and made me leave the drive thru. They told me they have nothing to do with the “raggedy” app. I left and went down the road to call the customer service number for a resolution . The rep answers the phone sounding sleepy and  nonchalant. She told me there was nothing she could do. It was the apps fault . That I have to wait 3 business days before I can be refunded. I called again today , Tuesday ! And was told that a refund has been requested that now I need to wait 6-10 business days for the app to refund me! I will never use this App again in my life . Thanks Taco Bell for what has been the worst fast food experience of my life ! Delete this app ! Everyone do not use it !!  I promise you’ll run into an issue .",2018-05-29 19:37:02,Taco Bell
2,"Way, way better now. Solid app.",,4,Argembarger,False,"I wrote a snarky review about how much the app would lock up, and how buggy the checkout process was. I’m really glad to see that the new version of the app is *far* superior on both fronts!

I still have to knock a star off for the fact that certain screens—especially the Customize screens—can appear to fail when you open them. They are actually just loading, and dutifully populate the views after they’re done, but they are not reporting any status or progress and it makes it feel like the app is frozen or has hit an error, which isn’t great.

Also, this is just an opinion, but I think it’s odd that ordering for in-store pickup indicates that they start preparing the order right away, but ordering for drive-thru indicates that they wait for me to be on-site and check in before the order is prepared. It seems like I’d always want to choose in-store pickup, so they can prepare it while I’m driving there, or at least have advance notice of the order to save a little time on both sides, and I’m confused why the drive-thru doesn’t use the same logic... Maybe the higher likelihood of being forced to wait for a long drive-thru line...? Only one transaction-spot to receive the food in the drive-thru, versus potentially multiple points in-store? I assume it was a deliberate choice. Just interesting, I guess. Other apps use GPS to detect when you’re nearly at the restaurant for that kind of thing, could be a good feature.",2019-05-27 19:09:22,Taco Bell
3,Charged my card but didn’t place my order?,"{'id': 20839769, 'body': 'Please accept our sincere apologies. Can you please share details at tbmobileappteam@yum.com? We want to look into this right away.', 'modified': '2021-02-03T17:32:14Z'}",1,User5438,False,This app is by far one of the worst apps for a food establishment. I like being able to pay contactless when I eat out nowadays and also have the convenance of having it ready to pick up. The app was already buggy while trying to add items and once I got to checkout it decided to give me an error message as soon as it took my Apple Pay stating “sorry something went wrong...” BUT STILL CHARGED MY CARD with no order placed or history of a order placed ( I called to make sure that the location I was trying to place pick up did or did not receive any order under my name). This is ridiculous and an overall terrible experience. They make it so difficult to even find where / how contact the support. Luckily after some googling I was able to get hopefully somewhere via sending an email. Their number is only available from 8am-4pm what about “after hours” as most people eat dinner after 6pm or 7pm! Plus I saw the wide spread issue discussed that I am having with having your card charged without an order placed or being able to pick up the food you paid for. I will be uninstalling the app / not be using the app + suggesting that others do the same. Waste of your time and money. Also an additional side note why the did you take away all the things people actually enjoyed eating from Taco Bell with weak overhyped replacements. The fiesta potatoes + pico de gallo were literally one of the reasons I went to Taco Bell instead of Del Taco.,2021-02-02 03:02:57,Taco Bell
4,App doesn’t work - unable to login,"{'id': 27264051, 'body': ""We'll look into this issue for you. Please send us a note at DigitalSupport@tacobell.com so that we can follow up. "", 'modified': '2022-01-05T21:21:41Z'}",1,brucato12,False,"This is the worst app I have ever used. Multiple issues with this app. It looks like it saves my card information for convenient purchasing but when I go to make the purchase it gives me an error saying something went wrong. In order to make the purchase, it makes me then re-enter my card info then it works. I have to do this every time. After while, I end up with my card info in there 10 times and have to go through and delete them. The other issue I have had is with getting locked out. It tells me it’s time to change my password. It asks me to click a link to send me an email to update my password. Even though my email is correct in there and I receive all the rewards/marketing emails, I never receive the link to reset my password. Now I can’t even use the app anymore at all to make purchases or access my rewards. I have tried to go into the app to use the contact messaging features and have asked for either a phone call or email follow up. No surprise, I never receive a call or email in regard to getting assistance with my issues. Of course, the app is third party and no one in any of the locations, including managers can assist or give me any phone number to contact for assistance. I never have issues with any other food apps. Very poor customer experience and due to all the inconvenience, I just go elsewhere instead. Would love for someone to contact me or for them to fix their app.",2022-01-04 02:39:38,Taco Bell
5,Ordering made 10x more difficult,"{'id': 6259777, 'body': 'Hello, We are very sorry to hear this and we want to make this right. Can you please email us at tbmobileappteam@yum.com so we can assist? Thank you!', 'modified': '2018-12-05T18:22:30Z'}",1,Liza1276,False,"I've tried using this app 3 times. The first two times I selected which location I wanted it at and somewhere along the way it chose a different store across town and I didn't find out until I was at the one I wanted to order from. I even payed special attention the second time to make sure it wasn't user error and it still somehow changed it. I waited in a 30 minute line twice both times because the service was slow and I didn't find out that it wasn't at that location until I was at the window. That's 2 hours of waiting overall for a taco! If it wasn't too late to have gone inside to get it but at that point only the drive thru was open. The third time I tried using it wasn't as bad but I like jalepenos so I tried adding them to my order and the option was there but every time I tried selecting it, it either didn't even show that I tried adding them but every now and then it would show it checked off for a split second before unchecking itself, I tried it with multiple different food items to make sure it wasn't just that my item couldn't have jalepenos added to it. It wouldn't let me add it to a single item. And I can't find any explanation for it. This app is supposed to make ordering easier but it's done nothing but add 10 times more stress to trying to get food. The restaurants weren't at all helpful when I explained the situation. At this point in about ready to give up on taco bell altogether and use the mcdonalds app next time.",2018-12-04 20:22:21,Taco Bell
6,Doesn’t work when needed,"{'id': 23508945, 'body': ""We'll look into this issue for you. Please send us a note at DigitalSupport@TacoBell.com so that we can follow up. "", 'modified': '2021-06-21T21:25:43Z'}",1,Tengunami,False,"I’ve had the app for the longest time to keep up with their menu changes; unfortunately, it doesn’t provide an updated menu (at least for my area). As a result, despite the store no longer offering a limited item on the menu, they still offer it in the app. I figured: maybe it’s just an incentive from ordering from the app? Not that it matters, b.c I hate how every fast food restaurant wants you to preload your payment methods. Still, I got taco bell gift cards recently, so I decided to order their cravings box. This particular limited item is only available through the app. I decided I’d preload my gift cards onto the app to try to get this item; unfortunately, the app wouldn’t even accept my order submission. The store I went to most definitely took online orders, but it seems their system likes to act up. It was already annoying that they made the item only accessible through the app, but when their system decides ‘go to the next taco bell to get this item instead’, I may as well just uninstall the app from my phone at this rate, and spare myself the inconvenience. Thus, that’s what I’ll do. Seriously, considering all of the above, what the heck is it good for? Compared to all of the restaurants with apps, this one seems to be among the most meaningless ones to have… Taco bell had literal years to win me over with the app, and I genuinely wanted them to; regrettably, it’s just an outright disappointment I refuse to entertain any further.",2021-06-19 22:03:05,Taco Bell
7,Major Flaws,"{'id': 15805905, 'body': 'Please accept our sincere apologies. Can you please share the details at tbmobileappteam@yum.com? We want to look into this right away.', 'modified': '2020-06-05T16:50:32Z'}",2,Brian W. II,False,"Let me start by saying I have used many different apps through the App Store for food services and restaurants. This app, by far, has caused me the most headache for trying to figure out what I want to eat. The first thing that happens when opening the app is it displays an error message stating “Oops! Well this is embarrassing...” the message goes on for longer. It leaves me with a button to go to the home page. I press the button and does just that. At the home page, or menu as it takes me to, if I click on any category of food so I can figure out what I want to eat, it displays the same error and takes me back to the menu. The only way I can get to see the menu is the top slide bar with the categories. By the time I figure out what I want, I could have ordered at the drive-thru and paid. Since I have been experiencing this flaw since installing, I have never used the app to order food. Other apps have given me such great results and streamlined the ordering process, unfortunately, this app is an inconvenience. I truly refuse to use the app as I have been having many issues. If this is how a more personalized experience feels then it is a disgrace to have this app anywhere near my phone. Two stars for a review is being generous. The reason for two is I was able to still find what I wanted to eat, but nothing else redeems the rest of the stars.",2020-06-04 08:45:55,Taco Bell
8,Five stars before glitch,"{'id': 4633711, 'body': 'Hello there, thank you for your feedback and we apologize for your experience with the app. Would you mind emailing us at TBMobileAppTeam@yum.com so we could look more into your issues? Thanks.', 'modified': '2018-08-13T15:01:57Z'}",5,Viewer2015,False,"Update: I was finally able to reset password, store connectivity seems to be up and running again. Moved to 4 stars until the app proves it will work seamlessly again like it did the first two weeks after downloading... if no more issues will move to 5!

Original: This app is fantastic... until it kicks you off and won’t let you back on. I guess I was using it too frequently! Seriously though, the app is attractive, user friendly, and dangerous for late night cravings. However, on trying to order one night from the same store I had used it for many times before, upon checkout/submit order it told me that the connection with store was lost. I thought this to be a mistake so I tried again, and again, and again. I was starting to get nervous that maybe my order was going through and just getting run over and over. But that was not the case. Using Apple Pay, none went through but what was worse, it logged me out of the app, I couldn’t remember my password, and then the forget password functionality told me user access denied. I can’t get back into the app... I’m in the phantom zone! Taco Bell is easily losing $15/wk keeping me out of the app. Please fix this bug!!!",2018-08-13 01:57:18,Taco Bell
9,"Updated, the app is great now!",,5,abelcf16,False,"Unfortunately there’s no way to give this app zero stars, or I would. Had the app a couple years ago, and was triple charged on the app for a $50ish order, then reassured that two of the charges would be refunded. Didn’t happen until extensive phone calls were made, so I deleted the app, no big deal. I figured, as a year or so went by, the bugs would be worked out, and got the app again last year. Couldn’t log into my account, or even create a new account. Deleted again. Today, I decided to try it again. Surprise surprise. Can’t log into or create an account, and now the app won’t even allow me to select a location to start. If I’m the only one, then awesome. Keep up the hard work, but if this is a common occurrence, why even have the app available to the public? Hope this review helps, and best wishes to the developers!

Update: I decided to give the app another shot today. It worked great for us this time so I wanted to be fair and not leave the rating at one star. Developers, whatever you did, great work! Please keep it up, as we look forward to continuing its use. Thank you!",2020-07-05 20:52:50,Taco Bell
