,title,review,rating,userName,date,isEdited,developerResponse,Company_name
0,Don’t usually leave reviews..,"I’ve used a lot of these apps and while I could nitpick every one of them, I’d rather just tell you what’s most important to me: response time to feedback. 

Whenever something happens at the store, the Burger King/jack in the box apps are the least responsive, you’ll have to play email tag with them for days to weeks and might get nowhere. Jack in the box solution is to go to there stores cause they never just refund your money for a missing item or something wrong, lost out on reward points cause they made a mistake? Too Bad. 

The Wendy’s app gets you a response in 24 hours, either text/email but you get that feeling that there’s definitely one person you’re talking to and not going through a chain of command or a team. Now, what’s more important to you? Responsiveness when it comes to your money or something dumb, like a button doesn’t work or the layout doesn’t look right for you?",5,neilhatestech,2021-11-04 03:23:34,False,,Wendys
1,Good when works  but needs support,I been using this app for about a year and for the most part it works. My issues are no actual customer support for issues. I made an order and the app had no issues taking my payment but the restaurant had to close early that day. I never received my usual confirmation for picking up my order since I didn’t. I contacted customer support multiple times and never got a single response back after 2 days. Only after taking a survey did the restaurant manager reply to my survey and sent one email telling me to contact customer support for a refund. I replied saying I did and no one would respond and neither did that manager to my email. I had to initiate a charge back with my credit card company to get my refund. I was also making a lunch order in advance and after the customization the app decided to completely clear my order because it turned 10:22 AM and breakfast orders can’t be made anymore and the menu turns to lunch and why is breakfast cut for mobile ordering at 10:22 AM when the restaurant will take it until 10:30 AM? What’s up with the digital frosty key tag? I bought the physical one and it says I can use it with ANY purchase but the digital one it can NOT be used with any other offers that’s a scam. I definitely will not be visiting Wendy’s as much this year!,2,Sick-Of-Citi,2021-12-14 19:15:48,False,,Wendys
2,A bad app looks worst than no app,"For the love of god, if another food company comes out with a terrible app that they tasked an intern and a budget of $50 with to make, I’m gonna stop eating food all together. 
Your app makes the entire ordering process take longer, more frustrating, and I see zero advantages over ordering in person. If you close out a sign in dialog you must force close the app to ever have the chance to log in. The coupon process is NOT intuitive to apply.. which is crazy, because he internet has done coupons since the start, and we got it down at least 20 years ago. Just delete the app, because I know I won’t ever try it again, it only wastes time, and when it does work, I never save time. Not once. Never once. Seriously. The speed for me to read out my order into the speaker is greater than opening the app, praying you’re still signed in, praying it will let you sign back in, praying that the cart functionality won’t break requiring you to restart, praying the app doesn’t randomly close. After all that you get the “privilege” of not having to speak your order.. but I’m pretty sure searching through navigational menus just to find a specific item, spend time going through to customize it, and repeat for every single item in your order is not as fast as saying “number 6, no ketchup”",1,afitz 200,2022-02-23 23:53:58,False,,Wendys
3,Horrible App! Bad Customer Service!,"I ordered through their app and when I got to the restaurant, I was unable to check in. I kept getting an error message. I went to the front to ask them to prepare my order and to report the issue. The worker rudely stated that she couldn’t help me and called for the next customer while I was standing there. I was then told that I had to place the order with them directly and pay again. When I mentioned that I would need a refund for the mobile app order, they stated that I had to contact Wendy’s customer service for the refund and that they had nothing to do with the mobile app order. I decided to leave the restaurant and get nothing because I found them to be rude and unhelpful. When I contacted Wendy’s customer service, they told me that the manager at the store would have had to refund me and that they cannot give refunds to customers. They sent a message to the manager at the location and stated that they will contact me when they can. What does that mean? Who refunds customers when the mobile app decides to mess up. The store or Wendy’s customer service? Regardless I’m going to contact my credit card company to reverse the charge. I’ve never had this issue with any other food ordering app and I promptly deleted Wendy’s app and won’t be using it again.",1,Viozu,2021-05-12 17:00:01,False,,Wendys
4,Location,"So far the app works really well, it’s does what a mobile ordering app should do compared to some of the other ones out there, however I have to draw the line at the intensive use of my phones location services.  It’s not that I typically mind if a restaurant uses it to make ordering an easier task, my issue stems from the fact that if I have location services enabled “only when using the app” that unless I force close it the app will almost flagrantly shove in my face that it is still using my location services because at the top of my screen it’ll show the blue gps line at the top of my screen. I don’t usually make a habit of force closing my apps which is on me but I figure it would stop on its own given that my settings only allow for when Im “using the app” and Im not. It does not and It then proceeds to drain my battery and it feels a little sketchy that Im not actively using the app but your actively taking my location, even if the logical conclusion is your using it to suggest nearby restaurants. I have since changed my settings to never use my location, and hope this gets fixed in the future.",3,BurnedPheonix,2021-11-23 16:12:33,False,,Wendys
5,No good,"I used this app before today to get free delivery and waited then 30 mins later it said it was canceled.  Nice when kids are all waiting to eat lunch.  No explaination…only that it was canceled.  Called the store and they said it was canceled and blamed it on DoorDash yet I didn’t get it from doordash’s app I got it from Wendy’s app.  
Then today when trying to order my prior order and it never saved on app so I put my order in the cart randomly getting these little pop up errors (“Error We're sorry, an error was detected.”  when just going into food to edit or add, just viewing items in cart, etc.  So I decided to favorite each meal plus the whole order just to ensure I didn’t lose my order.  Then I go to add one more thing, then it cleared my entire order (6 different meals).  I went under favorites to see if they were there and nothing is there.  Ugh this thing is a pain.  Not sure how it got such good reviews.

Two more things to find menu then location and it was just spinning where it had their little food image on the screen with the bar going across repeatedly.  Also, tried to scan the item I bought and system just hung again with the little food image and bar.  It wasn’t my WiFi that was the problem either.",1,Karls S,2021-06-23 14:40:49,False,,Wendys
6,Worst Fast Food App,"I have apps for all the fast food restaurants in my area and this is the absolute worst. 
The first time I used this app I placed my order and paid and when I arrived to the restaurant to pick up my order they told me they don’t accept mobile orders. How?? Get yourself together Wendy’s. Obviously if a location is not taking mobile orders I should not have been able to place a mobile order for that location. Fortunately the staff were kind and understanding and I was able to get my meal without having to pay twice. 
Since then, I’ve been able to use this app successfully only one time. Every other time there have been errors that occur and prevent me from checking out. Today there was an offer for a free frosty with mobile order but again, the stupid app will not let me place a mobile order. I just used one of my other apps that actually work and went to a different place to eat. 
I love Wendy’s but whoever they have got to develop this app needs to be replaced ASAP. I can’t be the only one they’re losing business from. 
The only positive thing I can say is that when the app actually works it is simple to use, but I could say that for literally any other restaurant. Step it up devs.",2,Sarahf12912,2019-08-16 18:28:00,False,,Wendys
7,Ordering through the app and applying deals isn’t easy,"The app isn’t showing any stores around and after restarting the app. I just created an account and have not been able to use the offers that I installed it for. There are also apparently no Wendy’s in my area that are available for mobile ordering, so I can’t use the mobile deals either way… Reporting feedback in the app is also NOT user friendly. When I try it insists that I have to choose a time of visit and a store, but NO stores come up. So I can’t submit the form to give feedback. I just have to wait for whenever the app pops up to ask for feedback, which I haven’t seen since I first opened the app and handnt even used it yet… why would they even ask for feedback at that point. 🙄 It’s been giving me “Sorry, there was an error detected.” Which gives no confirmation that the error was reported or option to fix it. Then when I try to chat, it says I’m #1 in line, forever…
As a last resort, I logged out and deleted the app and tried again. It then wouldn’t even let me log in, giving the same “Sorry, there was an error detected” message. I give up. All other apps of all sorts, including Wendy’s competitors work fine.",1,Tealie-o,2021-12-14 15:23:37,False,,Wendys
8,Love Wendy’s,"I love Wendy’s because the French fries are the best, love the 4 for $4, love the free junior frosty with the card I purchase once a year ( I buy one for my adult son too).  I love the senior discount ( or free senior drink) and the apple pecan salad is great. I also love the grilled go wrap. I guess you could say, I love Wendy’s. As for the staff, they are always nice.  I usually eat at Wendy’s twice a week, but have been there more often than that many times.    Since you updated the app a while back, MY IPHONE 6 WILL NOT ACCEPT THE NEW APP!  I know it says that I can use an older version, but it just won’t work!!!  I NEED HELP!  I haven’t had my Wendy’s app for months!   Hoping someone will help me. I have points that I cannot access and offers l cannot see.  I haven’t found a place that says “CONTACT US”. People who work there don’t know how to fix this either.  Management, PLEASE HELP",5,Bloom Gal,2021-12-31 14:38:00,False,,Wendys
9,"Terrible APP, Horrible Customer Service","So after waiting in the drive through line for over 45 minutes I was finally able to place my order. Then when I attempted to pay, using the mobile app, it took 10 minutes just for the attendant at the window to know how to take payment from a customer using the mobile app. The transaction failed. Apparently I needed to add funds to my Wendy account. I selected $25 dollars and then was promoted to enter my CVV number. When I did it generated an unknown error. I closed the app and restarted my phone but still had the same error. I checked my checking account balance and there was plenty to cover the charge. I called my bank and the agent said everything was good on the banks end. At this point it was clearly an issue with the Wendy’s APP. I tried the live chat option inside the app. Even though I was 1st in line to chat with a support agent I waited nearly 20 minutes but no agent ever responded to my request. I called the toll free support phone number, was told I was 5th in line but after 25 minutes I gave up. I tried their Instagram chat, it’s been 30 minutes and no response. Your APP and customer support are total crap!!",1,Steven Waters,2021-07-15 20:33:30,False,,Wendys
10,Tough app to use but does have nice food deals,"I think this app is too complicated for the average person to use.   I tried to buy a digital frosty key tag today. First I couldn’t find the offer. Then I finally found it with two options, physical card or digital. Sounds great!  However when I checked out with the digital option, I still had to go to a store to pick up the physical card. At least that’s what my store told me when I called to get them to release the digital order. They had never heard of digital key tags. Come on, Wendy’s, don’t roll stuff out without training your staff!  You need to let the digital key tag frosty offer work in addition to other deals too. Throw us a bone here! The jr frosty isn’t the deal, it should be lagniappe.  

Anyway, to anyone reading this, you have to get and use this app so Wendy’s will continue to invest in it. The app idea is good, the food hits the spot, and the deals in app bring me when I’m considering the options.  They just need to simplify it. Maybe try some more focus groups and watch people try to use it.",3,Suprajayne,2020-12-17 03:12:59,True,"{'id': 2550638, 'body': ""Hey there! We're sorry to hear these were not accepted at certain locations that you visited. If you can call or text us at 888-624-8140 with location info, we will ensure they are aware of these issues!"", 'modified': '2020-12-17T03:12:59Z'}",Wendys
11,Mobile ordering slow customer service,I ordered on the app weeks ago and was charged almost 50 dollars for it all. Never received my drinks and didn’t get a refund for it so I had to call customer service. I sent an email and waited 4 days still haven’t heard anything back from them at that point. I grew really impatient and so I tried calling them on the phone and waited about a half hour on the phone to get in contact with someone. The guy apologized and gave me a refund for the entire order but still I will not be using the app again. When I went to the location near me they said they can not scan the free rewards and have to punch them in as a coupon. I had 500 points In rewards I’m not even able to use because I selected breakfast items and every time I try to place an order to get it they don’t have the breakfast. Breakfast should be served until 12. It’s ridiculous and the app is useless. I will be uninstalling. This app is such a inconvenience to use and not worth it. Especially when the food is mediocre. I will not be returning to Wendy’s and purchasing from them again. Every time I go I am always unsatisfied with their service.,1,honest1678,2022-02-25 17:24:52,False,,Wendys
12,Going Downhill Fast!,"This app is progressively plagued with issues. It continues to become less user friendly each time it’s redesigned. Recently, it stopped clearing out the current order after it was placed and the app closed, preventing a new order from being placed the next time the app was opened. Also more recently, selecting an available offer would make it disappear from availability without adding it to the cart. Yesterday, I was unable to process any orders at all. The app froze loading my total each time. Today, after updating the app, I was logged out and the app gives an error message “forbidden” when I try logging in, of trying to sign up fresh. Live Chat with customer service doesn’t exist anymore and there’s no email option. I don’t want to spend who knows how long it will take trying to reach someone over the phone, only to be told they can’t do anything anyway. 

I’ve now deleted this useless app. Fortunately, I have both a Carl’s Jr. and a Jack in the Box within a block of this Wendy’s, so I’ll take my business there a few times a week. Oh, also the Burger King I have closer to home. All those apps are working just fine!",1,5 minute apps,2022-03-14 01:42:32,False,,Wendys
13,Bring back mobile and BOGO offers,"We are retired and while at first it was difficult to get used to mobile ordering, we embraced it because of the good mobile offers and pandemic, necessitating drive-thru drive service.  Then they messed up the app so badly that a mobile offer couldn't be added to a mobile order and they were unwilling to help at the restaurant.  They almost lost us as costumers with that debacle, but we left without purchasing a couple of times and eventually an update fixed it.  Again we continued to frequent Wendy's at least once a week for their 2/$5 Single and spicy chicken sandwich deal, or any one of the good app offers they always had.  Now the good offers are completely gone in favor of a vastly inferior REWARDS program, and so are we.  There are many other fast food options out there that want out business and offer discounts that we will use.  The selection of coupons at this time is an absolute joke.  Bring back offers that people want or you won't have a business before long.  The so is useless if you don't offer deals that people want.",2,!BeyondFrustrated!,2020-09-01 15:25:07,False,,Wendys
14,"Asks for location, then charges you for orders at different stores","So I went to give this app a second chance today, and it asked me to allow it to always view my location. I never do this because I like to have at least some privacy these days, but I allowed it just this once, figuring if the app knows where I am then it’s less likely to get confused, right? Wrong. 
Shortly after submitting my order, I go to turn on my car to go pick it up and it won’t start, so I need to cancel my order that I can no longer pick up. Well, I open the app again to find that it believes I’m currently IN THE PARKING LOT of a store on the OTHER SIDE OF THE STATE. It then marks my order as completed and picked up, and charges my card. To make things even worse, there’s no “report a problem with this order” button like a functional app should have, so I have to wait forever in a customer service queue to get refunded for this order I never got, while figuring out what else to do for lunch, while trying to figure out what’s wrong with my car. 

Tl;dr this app STILL doesn’t work after all these months, which can make for a really bad day. Just stick with McDonald’s.",1,h3lloth3re,2021-03-23 18:39:00,False,,Wendys
15,Wendy's always disappoints,"In the past 3 years I have yet to have a ""good"" experience at any Wendy's. It makes me sad because I usually enjoy their food. They got rid of their artisan egg sandwich for breakfast. They got rid of breakfast as an option at most restaurants. They got rid of my favorite salad. Not much reason to go. I decided to try the app for the free spicy nuggets. I ordered for pickup through drive thru, and chose the one-time card payment (that doesn't save your card info). My app said PAID. When I got there, they said I needed to add money to the digital balance. While this was an option when paying, I didn't choose it. The app clearly said paid, although I got no email or any confirmation saying I paid or ordered. They were absolutely positive that I had not paid, when I indeed had. So they gave up and said they'll pay for me. Whatever. When I get back and check my bank account, there is the charge for my meal. So I was being hopeful that I actually got a free meal when, nope, they disappointed again. I'll probably be back in a year or so only to disappoint myself again. Long story short, don't bother with the mobile ordering.",1,Sum1r,2019-09-13 01:22:00,False,,Wendys
16,Needs work,"Not the most intuitive app I’ve seen. But what really annoys me is having to place my order and arrive at the restaurant eight minutes before breakfast ends. This is fast food. I don’t mind if it takes them a little while to prepare it because I know that they’re new to breakfast, but I should be able to place my order and arrive at Wendy’s before the cut off and still get it. I wasn’t able to get there eight minutes early last time although I could’ve gotten there five minutes early. Ended up going to Chick-fil-A. Arrive there at 10:26 and placed my order at that same time and got my order by 10:28 with no problems. Wendy’s food is good, but the service and app needs improvement. Update: I tried again the next day at an earlier time so I could make sure to use one of the discount codes since it was the last day it was valid. However instead of taking two dollars off my breakfast combo like it explicitly said it would, it would only take off $1.39 no matter what I tried. I did not edit the order or do anything to change the basic elements of the combo. This feels kind of like a scam.",1,Rg1234567,2020-03-15 13:08:02,False,,Wendys
17,New changes,"Dear sir (s) I would like to speak about the new changes you have included in the Wendy’s app. I’m not a favorite of the mobile pay app. It’s Incredibly easy to hack. Not just yours  mind you but all of them. Five family members accounts were hacked. Money stolen and had to get new cards from their backs. This isn’t only in CA but three different states. I also our choices of meal discounts are dwindling. More app only deals have taken over. We don’t want delivery meals, when we’re out we like a sit down experience. Apparently our choices on your app will be severely limited, or completely go to mobile order only. That, will limit our Wendy’s experience tremendously. Sorry, I know the mobile app is the new “hot idea” to drum up new business. But in our case it will do just the opposite. Good luck we do love Wendy’s “fresh” menu and freshly prepared meals (hot) hopefully our type of business won’t be excluded.",4,senor #uno the boss,2019-10-26 16:54:41,False,,Wendys
18,Terrible App,"I added money to the app so I can place my order, pay for it, and someone to pick it up since I got hurt. I placed the order and paid in the app with the $50 I put in there. My cousin went to pick it up for me and was told the payment did not went through. I told her the payment number for the app and it didn’t went through. I had to send the money to my cousin in order to repay for food already paid in the app. This happened two more times. After the second time I chatted with an agent whom saw that everything was correct on my end and sent the information and proof to management of my local Wendy’s. I was told to delete the app and reinstall it. I decided to try it a few days later to see if it worked and still did the same thing. I was checking my email constantly to see if Wendy’s management figured out the problem and no response. So now I just preorder or order at the drive thru still with my money just sitting in the app.",2,J-GMck,2022-03-09 03:14:19,False,,Wendys
19,Useless,"I have used this app about ten times now and have only actually succeeded once. It works to find stores, look at menus, etc, but DO NOT upload a gift card! I have had two gift cards now that I have uploaded and the second it is uploaded to your app, the card becomes invalid. You can no longer use the physical card, nor can you mobile pay or place a mobile order. The app also does not tell you that your payment (with said gift card) failed, so while you wait for your mobile order, thinking everything went through just fine, it isn’t even being made, bc the restaurant received an order with failed payment. Luckily the employees tend to be very helpful and apologetic, but this app really needs to be fixed. Also, if you add a reward to a mobile order that fails, you do not get the reward back to try again with different payment or to try to use in store instead of on a mobile order. This app is so frustrating.",2,RaceTrac Fanatic,2021-07-10 17:21:38,False,,Wendys
20,Getting Better with each update,The app has consistently improved. I would suggest allowing for drink customization such as lite or no ice. It would save me the trouble of having to ask when arriving for pickup and hope they didn’t already prepare the drink. It would also be great if the credit card CCV would save so we don’t have to keep entering all the time since I have sometimes left the card at home while trying to order with my default payment. One last suggestion would be to allow us to use whatever balance remains on a Wendy’s gift card. If you don’t have enough to cover the entire purchase it does not allow you to split the payment allowing for the gift card to be used up,5,McMess99,2021-05-11 23:44:12,False,,Wendys
21,Unreliable,"I liked the app until they went with the rewards program. I did delivery some. The last order was wrong and items were missing. There was no place on the app to report problems. I did send an email, but didn't receive a response. I had built up substantial rewards and decided to take advantage to purchase a salad. However, the reward points show it was to be used for a salad, but then it couldn't be applied at checkout. So the points were lost in limbo. Today I was in the mood for one of their burgers I really like. I did a pick up at the drive up. It took me 10 to 15 minutes to get there. At the order station I was told it was ready and to pull forward. There were a few cars ahead of me. Once at the pick up window I still had to wait as if I had just placed the order. Definitely no advantage to having used the app and ordering ahead. Has definitely soured me from using the app or even going there anymore.",2,Judz2,2022-03-24 07:09:27,False,,Wendys
22,"App has a lot of Glitches, Beware","I appreciate Wendy’s effort to bring a mobile app to the consumers. It has been an upgrade to their service. However, ever since the start, the app has been filled with glitches. At the beginning they were mostly minor issues. For the last 12 months, I’ve noticed major issues that drastically altered the purchasing process. 12 months ago, it was issues with pick up options. 6 month ago it was issues with the redemption of offer and reward. A few months ago, they had issues with service speed. It seemed like the store does not get the order ahead, and only starting making the food after the guest has physically arrived today, even when they are not busy. As of today, there is a network issue and the app can’t send the order in. I had to go to the fast food place next door. Just wanted future guests of Wendy’s know to check the app and plan ahead before it’s too late in case they have an ongoing glitch.",1,TX Machine,2021-12-07 18:35:48,False,,Wendys
